Date,CPI_Index
Sep-48,3.7
Dec-48,3.7
Mar-49,3.8
Jun-49,3.9
Sep-49,4.0
Dec-49,4.1
Mar-50,4.1
Jun-50,4.2
Sep-50,4.3
Dec-50,4.4
Mar-51,4.7
Jun-51,4.9
Sep-51,5.1
Dec-51,5.6
Mar-52,5.8
Jun-52,5.9
Sep-52,6.1
Dec-52,6.1
Mar-53,6.1
Jun-53,6.2
Sep-53,6.2
Dec-53,6.2
Mar-54,6.2
Jun-54,6.2
Sep-54,6.2
Dec-54,6.2
Mar-55,6.3
Jun-55,6.3
Sep-55,6.3
Dec-55,6.4
Mar-56,6.5
Jun-56,6.7
Sep-56,6.8
Dec-56,6.8
Mar-57,6.8
Jun-57,6.9
Sep-57,6.9
Dec-57,6.9
Mar-58,7.0
Jun-58,7.0
Sep-58,7.1
Dec-58,7.2
Mar-59,7.2
Jun-59,7.2
Sep-59,7.3
Dec-59,7.4
Mar-60,7.4
Jun-60,7.4
Sep-60,7.5
Dec-60,7.6
Mar-61,7.7
Jun-61,7.7
Sep-61,7.7
Dec-61,7.7
Mar-62,7.8
Jun-62,7.8
Sep-62,7.8
Dec-62,7.8
Mar-63,7.8
Jun-63,7.8
Sep-63,7.8
Dec-63,7.8
Mar-64,7.9
Jun-64,8.0
Sep-64,8.1
Dec-64,8.1
Mar-65,8.2
Jun-65,8.3
Sep-65,8.4
Dec-65,8.5
Mar-66,8.6
Jun-66,8.7
Sep-66,8.7
Dec-66,8.8
Mar-67,8.8
Jun-67,8.9
Sep-67,9.0
Dec-67,9.0
Mar-68,9.1
Jun-68,9.1
Sep-68,9.2
Dec-68,9.2
Mar-69,9.3
Jun-69,9.4
Sep-69,9.4
Dec-69,9.5
Mar-70,9.6
Jun-70,9.6
Sep-70,9.7
Dec-70,10.0
Mar-71,10.1
Jun-71,10.3
Sep-71,10.4
Dec-71,10.7
Mar-72,10.8
Jun-72,10.9
Sep-72,10.9
Dec-72,11.1
Mar-73,11.4
Jun-73,11.7
Sep-73,12.2
Dec-73,12.7
Mar-74,13.0
Jun-74,13.4
Sep-74,14.2
Dec-74,14.6
Mar-75,15.0
Jun-75,15.4
Sep-75,15.7
Dec-75,16.7
Mar-76,17.1
Jun-76,17.6
Sep-76,18.0
Dec-76,19.1
Mar-77,19.5
Jun-77,19.9
Sep-77,20.3
Dec-77,20.7
Mar-78,21.1
Jun-78,21.5
Sep-78,21.9
Dec-78,22.6
Mar-79,22.8
Jun-79,23.3
Sep-79,23.8
Dec-79,24.6
Mar-80,25.2
Jun-80,25.8
Sep-80,26.2
Dec-80,26.8
Mar-81,27.4
Jun-81,28.1
Sep-81,28.8
Dec-81,29.9
Mar-82,30.6
Jun-82,31.0
Sep-82,32.0
Dec-82,33.1
Mar-83,33.9
Jun-83,34.3
Sep-83,35.1
Dec-83,35.8
Mar-84,35.9
Jun-84,36.2
Sep-84,36.7
Dec-84,37.1
Mar-85,37.6
Jun-85,38.3
Sep-85,39.3
Dec-85,40.0
Mar-86,41.0
Jun-86,41.4
Sep-86,42.5
Dec-86,43.6
Mar-87,44.5
Jun-87,45.1
Sep-87,45.7
Dec-87,46.6
Mar-88,47.4
Jun-88,48.3
Sep-88,49.0
Dec-88,49.9
Mar-89,50.6
Jun-89,51.8
Sep-89,52.8
Dec-89,53.7
Mar-90,54.5
Jun-90,55.3
Sep-90,55.6
Dec-90,57.0
Mar-91,57.2
Jun-91,57.2
Sep-91,57.4
Dec-91,58.0
Mar-92,58.1
Jun-92,57.9
Sep-92,57.8
Dec-92,58.5
Mar-93,59.0
Jun-93,59.3
Sep-93,59.4
Dec-93,59.6
Mar-94,59.9
Jun-94,60.3
Sep-94,60.9
Dec-94,61.5
Mar-95,62.6
Jun-95,63.2
Sep-95,63.8
Dec-95,64.2
Mar-96,64.7
Jun-96,65.1
Sep-96,65.2
Dec-96,65.3
Mar-97,65.7
Jun-97,65.5
Sep-97,65.3
Dec-97,65.7
Mar-98,65.9
Jun-98,66.2
Sep-98,66.3
Dec-98,66.5
Mar-99,66.4
Jun-99,66.6
Sep-99,67.1
Dec-99,67.1
Mar-00,67.9
Jun-00,68.3
Sep-00,71.0
Dec-00,71.2
Mar-01,71.8
Jun-01,72.5
Sep-01,72.6
Dec-01,73.5
Mar-02,74.2
Jun-02,74.7
Sep-02,75.3
Dec-02,75.7
Mar-03,76.7
Jun-03,76.7
Sep-03,77.5
Dec-03,78.0
Mar-04,78.7
Jun-04,79.1
Sep-04,79.4
Dec-04,80.0
Mar-05,80.7
Jun-05,81.1
Sep-05,81.6
Dec-05,82.3
Mar-06,83.0
Jun-06,84.5
Sep-06,85.2
Dec-06,85.1
Mar-07,85.5
Jun-07,86.7
Sep-07,87.5
Dec-07,88.4
Mar-08,89.6
Jun-08,91.1
Sep-08,92.4
Dec-08,92.2
Mar-09,92.4
Jun-09,92.9
Sep-09,94.2
Dec-09,94.5
Mar-10,95.2
Jun-10,95.9
Sep-10,96.9
Dec-10,97.4
Mar-11,98.6
Jun-11,99.6
Sep-11,99.9
Dec-11,99.7
Mar-12,99.9
Jun-12,100.5
Sep-12,101.6
Dec-12,101.9
Mar-13,102.0
Jun-13,102.5
Sep-13,103.8
Dec-13,104.6
Mar-14,105.2
Jun-14,105.8
Sep-14,106.5
Dec-14,106.7
Mar-15,106.7
Jun-15,107.4
Sep-15,108.1
Dec-15,108.5
Mar-16,108.5
Jun-16,109.0
Sep-16,109.7
Dec-16,110.2
Mar-17,110.5
Jun-17,111.0
Sep-17,111.4
Dec-17,112.3
Mar-18,112.4
Jun-18,112.9
Sep-18,113.4
Dec-18,114.0
Mar-19,114.1
Jun-19,114.8
Sep-19,115.5
Dec-19,116.3
Mar-20,116.2
Jun-20,113.6
Sep-20,116.2
Dec-20,117.5
Mar-21,118.2
